state,vegetable,fork-ranger-name,January,February,March,April,May,June,July,August,September,October,November,December
alabama,celery-root,Celeriac,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
alabama,chard,Chard,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,Starting Now,Prime Time,Prime Time
alabama,cherries,Cherry,,,,,,Starting Now,Last Chance,,,,,
alabama,chicories,Chicory,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time
alabama,chili-peppers,X,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,chives,X,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,cilantro,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,citrus,X,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,clementines,X,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,collard-greens,Collard greens,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,corn,Corn,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
alabama,cucumbers,Cucumber,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,edamame,X,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,eggplant,Aubergine,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,endive,Endive,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time
alabama,fava-beans,X,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,
alabama,fennel,Fennel,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
alabama,figs,Fig,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
alabama,garlic,X,,,,,,Starting Now,Prime Time,Last Chance,,,,
alabama,garlic-scapes,X,,,,,Prime Time,,,,,,,
alabama,gooseberries,Gooseberry,,,,,,,Starting Now,Last Chance,,,,
alabama,grapefruit,Grapefruit,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,grapes,Grapes,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
alabama,green-beans,Green bean,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,green-onions,Green onion,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,,
alabama,ground-cherries,X,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,horseradish,Horseradish,Prime Time,Last Chance,,,,,,,,,,Starting Now
alabama,kale,Kale,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,Starting Now,Prime Time,Prime Time
alabama,kohlrabi,Kohlrabi,Prime Time,,,,,,,,,,,
alabama,lamb's-quarters,X,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,lavender,X,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
alabama,leeks,Leek,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,
alabama,lemons,X,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,lettuce,Lettuce,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,lima-beans,X,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,loquats,Loquat,,,,Prime Time,,,,,,,,
alabama,mandarins,Mandarine,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,melons,Melon,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,mint,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,mushrooms,X,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,mustard-greens,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,nectarines,Nectarine,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance
alabama,nettles,X,,,Starting Now,Last Chance,,,,,,,,
alabama,okra,Okra,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,onions,Onion,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,oranges,Orange,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,oregano,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,parsley,X,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
alabama,parsnips,Parsnip,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,pawpaw,Pawpaw,,,,,,,,Starting Now,Last Chance,,,
alabama,pea-shoots,X,,,Starting Now,Prime Time,Last Chance,,,,,,,
alabama,peaches,Peach,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
alabama,pears,Pear,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
alabama,peas,Peas,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,pecans,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,peppers,Bell pepper,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,persimmons,Persimmon,,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance
alabama,plums,Plum,,,,,,,Starting Now,Last Chance,,,,
alabama,potatoes,Potato,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
alabama,pummelo,X,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,pumpkin,Pumpkin,,,,,,,,,Starting Now,Prime Time,Last Chance,
alabama,purslane,Purslane,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,quince,Quince,,,,,,,,,,,Prime Time,
alabama,radicchio,Radicchio,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time
alabama,radishes,Radish,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,
alabama,rapini,Rapini,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,,
alabama,raspberries,Raspberry,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,rhubarb,Rhubarb,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,
alabama,rosemary,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,rutabaga,Swede,,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance
alabama,sage,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,shallots,Shallots,,Starting Now,Last Chance,,,Starting Now,Last Chance,,,,,
alabama,shell-beans,X,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,snap-peas,Sugar snaps,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,snow-peas,Snow peas,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,sorrel,X,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,spinach,Spinach,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,sprouts,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,strawberries,Strawberry,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,,
alabama,summer-squash,Zucchini,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
alabama,sunchokes,Jerusalem artichoke,Starting Now,Last Chance,,,Starting Now,Prime Time,Last Chance,,,,,
alabama,sweet-potatoes,Sweet potato,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,tangerines,X,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,tarragon,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,thyme,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,tomatillos,X,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,tomatoes,Tomato,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,turnips,Turnip,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,,
alabama,watercress,X,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,watermelon,Watermelon,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,winter-squash,Pumpkin,,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance
alabama,yams,Sweet potato,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,zucchini,Zucchini,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
alaska,apples,Apple,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,apricots,Abricot,,,,,,,Starting Now,Last Chance,,,,
alaska,arugula,Rocket,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,asian-pears,Asian pears,,,,,,,,Starting Now,Last Chance,,,
alaska,asparagus,Asparagus,,,,,Starting Now,Last Chance,,,,,,
alaska,basil,X,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,beets,Beetroot,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,blackberries,Blackberry,,,,,,,Starting Now,Last Chance,,,,
alaska,blueberries,Blueberry,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,bok-choy,Bok choy,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,brambles,X,,,,,,,Starting Now,Last Chance,,,,
alaska,broccoli,Broccoli,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,brussels-sprouts,Brussels sprouts,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
alaska,cabbage,White cabbage,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,cantaloupe,Cantaloupe,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,carrots,Carrot,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
alaska,cauliflower,Cauliflower,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,celery,Celery,,,,,,,,Starting Now,Last Chance,,,
alaska,celery-root,Celeriac,,,,,,,,Starting Now,Last Chance,,,
alaska,chard,Chard,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,cherries,Cherry,,,,,,Starting Now,Last Chance,,,,,
alaska,chicories,Chicory,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
alaska,chili-peppers,X,,,,,,Starting Now,Prime Time,Last Chance,,,,
alaska,chives,X,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
alaska,collard-greens,Collard greens,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,corn,Corn,,,,,,,,Starting Now,Last Chance,,,
alaska,cucumbers,Cucumber,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,currants,X,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,eggplant,Aubergine,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,endive,Endive,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
alaska,garlic,X,,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance
alaska,grapes,Grapes,,,,,,,Starting Now,Last Chance,,,,
alaska,green-beans,Green bean,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,green-onions,Green onion,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,ground-cherries,X,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,kale,Kale,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,lamb's-quarters,X,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,leeks,Leek,,,,,,,,,Starting Now,Prime Time,Last Chance,
alaska,lettuce,Lettuce,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,lima-beans,X,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,mushrooms,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alaska,mustard-greens,X,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,nectarines,Nectarine,,,,,,,Starting Now,Last Chance,,,,
alaska,onions,Onion,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,parsnips,Parsnip,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
alaska,pea-shoots,X,,,,,,,Starting Now,Last Chance,,,,
alaska,pears,Pear,,,,,,,,Starting Now,Last Chance,,,
alaska,peas,Peas,,,,,,,Starting Now,Last Chance,,,,
alaska,peppers,Bell pepper,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,plums,Plum,,,,,,,,,Prime Time,,,
alaska,potatoes,Potato,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,pumpkin,Pumpkin,,,,,,,,,Starting Now,Last Chance,,
alaska,purslane,Purslane,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,quince,Quince,,,,,,,,,,Prime Time,,
alaska,radicchio,Radicchio,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
alaska,radishes,Radish,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,rapini,Rapini,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,raspberries,Raspberry,,,,,,,Starting Now,Last Chance,,,,
alaska,rhubarb,Rhubarb,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,rosemary,X,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
alaska,rutabaga,Swede,,,,,,,,Starting Now,Last Chance,,,
alaska,sage,X,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
alaska,shallots,Shallots,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
alaska,shell-beans,X,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,snap-peas,Sugar snaps,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,snow-peas,Snow peas,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,sorrel,X,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,spinach,Spinach,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,sprouts,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alaska,strawberries,Strawberry,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,summer-squash,Zucchini,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,sunchokes,Jerusalem artichoke,Starting Now,Prime Time,Last Chance,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
alaska,tarragon,X,,,,Starting Now,Prime Time,Last Chance,,,,,,
alaska,thyme,X,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,tomatillos,X,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,tomatoes,Tomato,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,turnips,Turnip,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,watercress,X,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alaska,winter-squash,Pumpkin,,,,,,,,Starting Now,Prime Time,Last Chance,,
alaska,zucchini,Zucchini,,,,,,,Starting Now,Prime Time,Last Chance,,,
arizona,apples,Apple,,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance
arizona,apricots,Abricot,,,,,Starting Now,Last Chance,,,,,,
arizona,arugula,Rocket,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,asparagus,Asparagus,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,
arizona,basil,X,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
arizona,beets,Beetroot,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,black-eyed-peas,X,,,,,,,Starting Now,Prime Time,Last Chance,,,
arizona,blackberries,Blackberry,,,,,Starting Now,Last Chance,,,,,,
arizona,blueberries,Blueberry,,,,,,Starting Now,Last Chance,,,,,
arizona,bok-choy,Bok choy,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,boysenberries,Boysenberry,,,,,Starting Now,Last Chance,,,,,,
arizona,brambles,X,,,,,Starting Now,Last Chance,,,,,,
arizona,broccoli,Broccoli,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
arizona,brussels-sprouts,Brussels sprouts,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,cabbage,White cabbage,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,cantaloupe,Cantaloupe,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
arizona,cardoons,Cardoons,,,,,,,,,,Starting Now,Prime Time,Last Chance
arizona,carrots,Carrot,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,cauliflower,Cauliflower,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,celery,Celery,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,celery-root,Celeriac,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,chard,Chard,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,cherries,Cherry,,,,,,Prime Time,,,,,,
arizona,chicories,Chicory,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,chili-peppers,X,,,,,,,Starting Now,Prime Time,Last Chance,,,
arizona,chives,X,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
arizona,cilantro,X,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,citrus,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,Starting Now,Prime Time
arizona,clementines,X,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,collard-greens,Collard greens,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,corn,Corn,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
arizona,cucumbers,Cucumber,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,dates,X,,,,,,,,,Starting Now,Last Chance,,
arizona,endive,Endive,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,fava-beans,X,,Starting Now,Prime Time,Last Chance,,,,,,,,
arizona,figs,Fig,,,,,Starting Now,Last Chance,,,,,,
arizona,garlic,X,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,,
arizona,garlic-scapes,X,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,
arizona,grapefruit,Grapefruit,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,grapes,Grapes,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
arizona,green-beans,Green bean,,,,,Starting Now,Last Chance,,,Prime Time,,,
arizona,green-onions,Green onion,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,Starting Now,Prime Time,Prime Time,Prime Time
arizona,ground-cherries,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,horseradish,Horseradish,Prime Time,Last Chance,,,,,,,,,,Starting Now
arizona,kale,Kale,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,kohlrabi,Kohlrabi,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,lamb's-quarters,X,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
arizona,lavender,X,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
arizona,leeks,Leek,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,lemons,X,Prime Time,Prime Time,Last Chance,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time
arizona,lettuce,Lettuce,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,lima-beans,X,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
arizona,loquats,Loquat,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,
arizona,mandarins,Mandarine,Prime Time,Prime Time,Last Chance,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time
arizona,melons,Melon,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
arizona,mint,X,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
arizona,mushrooms,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,mustard-greens,X,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,nectarines,Nectarine,,,,,Starting Now,Prime Time,Last Chance,,,,,
arizona,nopales,X,,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance
arizona,okra,Okra,,,,,,,Starting Now,Prime Time,Last Chance,,,
arizona,onions,Onion,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,
arizona,oranges,Orange,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,oregano,X,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
arizona,parsley,X,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
arizona,parsnips,Parsnip,,,,,Starting Now,Last Chance,,,,,,
arizona,pea-shoots,X,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
arizona,peaches,Peach,,,,,Starting Now,Last Chance,,Prime Time,,,,
arizona,pears,Pear,,,,,,,,Prime Time,,,,
arizona,peas,Peas,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
arizona,pecans,X,Last Chance,,,,,,,,,,Starting Now,Prime Time
arizona,peppers,Bell pepper,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
arizona,pistachios,X,,,,,,,,Starting Now,Last Chance,,,
arizona,plums,Plum,,,,,,Starting Now,Prime Time,Last Chance,,,,
arizona,potatoes,Potato,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
arizona,pummelo,X,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,pumpkin,Pumpkin,,,,,,,,,Starting Now,Last Chance,,
arizona,purslane,Purslane,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
arizona,quince,Quince,,,,,,,,,,,Prime Time,
arizona,radicchio,Radicchio,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,radishes,Radish,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,,Starting Now,Prime Time,Prime Time
arizona,rapini,Rapini,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,raspberries,Raspberry,,,,,Starting Now,Last Chance,,,,,,
