state,vegetable,January,February,March,April,May,June,July,August,September,October,November,December
alabama,chives,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,cilantro,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,citrus,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,clementines,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,collard-greens,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,corn,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
alabama,cucumbers,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,edamame,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,eggplant,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,endive,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time
alabama,fava-beans,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,
alabama,fennel,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
alabama,figs,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
alabama,garlic,,,,,,Starting Now,Prime Time,Last Chance,,,,
alabama,garlic-scapes,,,,,Prime Time,,,,,,,
alabama,gooseberries,,,,,,,Starting Now,Last Chance,,,,
alabama,grapefruit,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,grapes,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
alabama,green-beans,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,green-onions,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,,
alabama,ground-cherries,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,horseradish,Prime Time,Last Chance,,,,,,,,,,Starting Now
alabama,kale,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,Starting Now,Prime Time,Prime Time
alabama,kohlrabi,Prime Time,,,,,,,,,,,
alabama,lamb's-quarters,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,lavender,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
alabama,leeks,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,
alabama,lemons,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,lettuce,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,lima-beans,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,loquats,,,,Prime Time,,,,,,,,
alabama,mandarins,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,melons,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,mint,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,mushrooms,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,mustard-greens,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,nectarines,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance
alabama,nettles,,,Starting Now,Last Chance,,,,,,,,
alabama,okra,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,onions,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,oranges,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,oregano,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,parsley,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
alabama,parsnips,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,pawpaw,,,,,,,,Starting Now,Last Chance,,,
alabama,pea-shoots,,,Starting Now,Prime Time,Last Chance,,,,,,,
alabama,peaches,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
alabama,pears,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
alabama,peas,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,pecans,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,peppers,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,persimmons,,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance
alabama,plums,,,,,,,Starting Now,Last Chance,,,,
alabama,potatoes,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
alabama,pummelo,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,pumpkin,,,,,,,,,Starting Now,Prime Time,Last Chance,
alabama,purslane,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,quince,,,,,,,,,,,Prime Time,
alabama,radicchio,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time
alabama,radishes,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,
alabama,rapini,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,,
alabama,raspberries,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,rhubarb,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,
alabama,rosemary,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,rutabaga,,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance
alabama,sage,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,shallots,,Starting Now,Last Chance,,,Starting Now,Last Chance,,,,,
alabama,shell-beans,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,snap-peas,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,snow-peas,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,sorrel,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,spinach,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,sprouts,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,strawberries,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,,
alabama,summer-squash,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
alabama,sunchokes,Starting Now,Last Chance,,,Starting Now,Prime Time,Last Chance,,,,,
alabama,sweet-potatoes,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,tangerines,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,tarragon,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,thyme,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,tomatillos,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,tomatoes,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,turnips,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,,
alabama,watercress,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,watermelon,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,winter-squash,,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance
alabama,yams,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,zucchini,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
alaska,apples,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,apricots,,,,,,,Starting Now,Last Chance,,,,
alaska,arugula,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,asian-pears,,,,,,,,Starting Now,Last Chance,,,
alaska,asparagus,,,,,Starting Now,Last Chance,,,,,,
alaska,basil,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,beets,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,blackberries,,,,,,,Starting Now,Last Chance,,,,
alaska,blueberries,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,bok-choy,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,brambles,,,,,,,Starting Now,Last Chance,,,,
alaska,broccoli,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,brussels-sprouts,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
alaska,cabbage,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,cantaloupe,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,carrots,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
alaska,cauliflower,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,celery,,,,,,,,Starting Now,Last Chance,,,
alaska,celery-root,,,,,,,,Starting Now,Last Chance,,,
alaska,chard,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,cherries,,,,,,Starting Now,Last Chance,,,,,
alaska,chicories,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
alaska,chili-peppers,,,,,,Starting Now,Prime Time,Last Chance,,,,
alaska,chives,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
alaska,collard-greens,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,corn,,,,,,,,Starting Now,Last Chance,,,
alaska,cucumbers,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,currants,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,eggplant,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,endive,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
alaska,garlic,,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance
alaska,grapes,,,,,,,Starting Now,Last Chance,,,,
alaska,green-beans,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,green-onions,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,ground-cherries,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,kale,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,lamb's-quarters,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,leeks,,,,,,,,,Starting Now,Prime Time,Last Chance,
alaska,lettuce,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,lima-beans,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,mushrooms,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alaska,mustard-greens,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,nectarines,,,,,,,Starting Now,Last Chance,,,,
alaska,onions,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,parsnips,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
alaska,pea-shoots,,,,,,,Starting Now,Last Chance,,,,
alaska,pears,,,,,,,,Starting Now,Last Chance,,,
alaska,peas,,,,,,,Starting Now,Last Chance,,,,
alaska,peppers,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,plums,,,,,,,,,Prime Time,,,
alaska,potatoes,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,pumpkin,,,,,,,,,Starting Now,Last Chance,,
alaska,purslane,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,quince,,,,,,,,,,Prime Time,,
alaska,radicchio,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
alaska,radishes,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,rapini,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,raspberries,,,,,,,Starting Now,Last Chance,,,,
alaska,rhubarb,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alaska,rosemary,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
alaska,rutabaga,,,,,,,,Starting Now,Last Chance,,,
alaska,sage,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
alaska,shallots,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
alaska,shell-beans,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,snap-peas,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,snow-peas,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,sorrel,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,spinach,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,sprouts,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alaska,strawberries,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,summer-squash,,,,,,,Starting Now,Prime Time,Last Chance,,,
alaska,sunchokes,Starting Now,Prime Time,Last Chance,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
alaska,tarragon,,,,Starting Now,Prime Time,Last Chance,,,,,,
alaska,thyme,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alaska,tomatillos,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,tomatoes,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,turnips,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
alaska,watercress,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alaska,winter-squash,,,,,,,,Starting Now,Prime Time,Last Chance,,
alaska,zucchini,,,,,,,Starting Now,Prime Time,Last Chance,,,
arizona,apples,,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance
arizona,apricots,,,,,Starting Now,Last Chance,,,,,,
arizona,arugula,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,asparagus,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,
arizona,basil,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
arizona,beets,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,black-eyed-peas,,,,,,,Starting Now,Prime Time,Last Chance,,,
arizona,blackberries,,,,,Starting Now,Last Chance,,,,,,
arizona,blueberries,,,,,,Starting Now,Last Chance,,,,,
arizona,bok-choy,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,boysenberries,,,,,Starting Now,Last Chance,,,,,,
arizona,brambles,,,,,Starting Now,Last Chance,,,,,,
arizona,broccoli,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
arizona,brussels-sprouts,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,cabbage,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,cantaloupe,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
arizona,cardoons,,,,,,,,,,Starting Now,Prime Time,Last Chance
arizona,carrots,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,cauliflower,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,celery,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,celery-root,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,chard,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,cherries,,,,,,Prime Time,,,,,,
arizona,chicories,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,chili-peppers,,,,,,,Starting Now,Prime Time,Last Chance,,,
arizona,chives,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
arizona,cilantro,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,citrus,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,Starting Now,Prime Time
arizona,clementines,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,collard-greens,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,corn,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
arizona,cucumbers,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,dates,,,,,,,,,Starting Now,Last Chance,,
arizona,endive,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,fava-beans,,Starting Now,Prime Time,Last Chance,,,,,,,,
arizona,figs,,,,,Starting Now,Last Chance,,,,,,
arizona,garlic,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,,
arizona,garlic-scapes,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,
arizona,grapefruit,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,grapes,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
arizona,green-beans,,,,,Starting Now,Last Chance,,,Prime Time,,,
arizona,green-onions,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,Starting Now,Prime Time,Prime Time,Prime Time
arizona,ground-cherries,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,horseradish,Prime Time,Last Chance,,,,,,,,,,Starting Now
arizona,kale,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,kohlrabi,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,lamb's-quarters,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
arizona,lavender,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
arizona,leeks,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,lemons,Prime Time,Prime Time,Last Chance,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time
arizona,lettuce,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,lima-beans,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
arizona,loquats,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,
arizona,mandarins,Prime Time,Prime Time,Last Chance,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time
arizona,melons,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
arizona,mint,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
arizona,mushrooms,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,mustard-greens,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,nectarines,,,,,Starting Now,Prime Time,Last Chance,,,,,
arizona,nopales,,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance
arizona,okra,,,,,,,Starting Now,Prime Time,Last Chance,,,
arizona,onions,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,
arizona,oranges,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
arizona,oregano,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
arizona,parsley,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
arizona,parsnips,,,,,Starting Now,Last Chance,,,,,,
arizona,pea-shoots,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
arizona,peaches,,,,,Starting Now,Last Chance,,Prime Time,,,,
arizona,pears,,,,,,,,Prime Time,,,,
arizona,peas,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
arizona,pecans,Last Chance,,,,,,,,,,Starting Now,Prime Time
arizona,peppers,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
arizona,pistachios,,,,,,,,Starting Now,Last Chance,,,
arizona,plums,,,,,,Starting Now,Prime Time,Last Chance,,,,
arizona,potatoes,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
arizona,pummelo,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,pumpkin,,,,,,,,,Starting Now,Last Chance,,
arizona,purslane,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
arizona,quince,,,,,,,,,,,Prime Time,
arizona,radicchio,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,radishes,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,,Starting Now,Prime Time,Prime Time
arizona,rapini,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,raspberries,,,,,Starting Now,Last Chance,,,,,,
arizona,rosemary,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
arizona,rutabaga,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,sage,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
arizona,salsify,Last Chance,,,,,,,,,Starting Now,Prime Time,Prime Time
arizona,shallots,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
arizona,shell-beans,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
arizona,sorrel,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
arizona,spinach,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
arizona,sprouts,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,strawberries,,Starting Now,Prime Time,Last Chance,,,,,,,,
arizona,summer-squash,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
arizona,sunchokes,Starting Now,Prime Time,Last Chance,,Starting Now,Prime Time,Last Chance,,,,,
arizona,sweet-potatoes,Prime Time,Prime Time,Last Chance,,,,,,,,,Starting Now
arizona,tangerines,,,,,,,,,,,Starting Now,Last Chance
arizona,tarragon,,,,Starting Now,Prime Time,Last Chance,,,,,,
arizona,thyme,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,tomatillos,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,tomatoes,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
arizona,turnips,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
arizona,watercress,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
arizona,watermelon,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
arizona,winter-squash,,,,,,,,,Starting Now,Prime Time,Last Chance,
arizona,zucchini,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
arkansas,apples,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
arkansas,arugula,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,
